Name,Longitude,Latitude
001 DP - Sé,-46.6343890,-23.5569456
002 DP - Bom Retiro,-46.6443250,-23.5230978
003 DP - Campos Elísios,-46.6396531,-23.5394282
004 DP - Consolação,-46.6498941,-23.5506210
005 DP - Aclimação,-46.6380969,-23.5656108
006 DP - Cambuci,-46.6237110,-23.5675885
007 DP - Lapa,-46.6951118,-23.5293405
008 DP - Brás,-46.5936796,-23.5482590
009 DP - Carandiru,-46.6127281,-23.5032930
01 DP Pessoa com Deficiência,-46.6349272,-23.5385329
010 DP - Penha de França,-46.5579139,-23.5259937
011 DP - Santo Amaro,-46.7075300,-23.6469652
012 DP - Pari,-46.6124478,-23.5298290
013 DP - Casa Verde,-46.6492214,-23.5004359
014 DP - Pinheiros,-46.6913327,-23.5618266
015 DP - Itaim Bibi,-46.6744944,-23.5818108
016 DP - Vila Clementino,-46.6377649,-23.6016218
017 DP - Ipiranga,-46.6087437,-23.5907421
018 DP - Alto da Moóca,-46.5915228,-23.5703303
019 DP - Vila Maria,-46.5847159,-23.5176231
020 DP - Água Fria,-46.6208370,-23.4781315
021 DP - Vila Matilde,-46.5265647,-23.5370222
022 DP - São Miguel Paulista,-46.4412849,-23.4962613
023 DP - Perdizes,-46.6654264,-23.5370225
024 DP - Ponte Rasa,-46.4985768,-23.5098322
025 DP - Parelheiros,-46.7348067,-23.8255144
026 DP - Sacomã,-46.6021415,-23.6227761
027 DP - Campo Belo,-46.6749929,-23.6152510
028 DP - Freguesia do Ó,-46.6976962,-23.4946899
029 DP - Vila Diva,-46.5576583,-23.5736862
030 DP - Tatuapé,-46.5676895,-23.5500364
031 DP - Vila Carrão,-46.5372219,-23.5490889
032 DP - Itaquera,-46.4518679,-23.5343004
033 DP - Pirituba,-46.7458958,-23.4972702
034 DP - Vila Sonia,-46.7268223,-23.5880953
035 DP - Jabaquara,-46.6431910,-23.6395142
036 DP - Vila Mariana,-46.6509120,-23.5790639
037 DP - Campo Limpo,-46.7704622,-23.6329269
038 DP - Vila Amália,-46.6482794,-23.4696037
039 DP - Vila Gustavo,-46.5898894,-23.4834032
040 DP - Vila Santa Maria,-46.6777948,-23.4944414
041 DP - Vila Rica,-46.5176269,-23.5793539
042 DP - Parque São Lucas,-46.5532453,-23.5896336
043 DP - Cidade Ademar,-46.6691070,-23.6567323
044 DP - Guaianazes,-46.4187719,-23.5426819
045 DP - Vila Brasilândia,-46.6899136,-23.4691230
046 DP - Perus,-46.7380393,-23.4044608
047 DP - Capão Redondo,-46.7828993,-23.6646542
048 DP - Cidade Dutra,-46.6956835,-23.7121625
049 DP - São Mateus,-46.4706773,-23.6058652
050 DP - Itaim Paulista,-46.3968226,-23.5051200
051 DP - Butantã,-46.7225590,-23.5718334
052 DP - Parque São Jorge,-46.5633969,-23.5364139
053 DP - Parque do Carmo,-46.4662012,-23.5668392
054 DP - Cidade Tiradentes,-46.4012090,-23.6051566
055 DP - Parque São Rafael,-46.4702604,-23.6235540
056 DP - Vila Alpina,-46.5672030,-23.5937486
057 DP - Parque da Moóca,-46.5845589,-23.5687047
058 DP - Vila Formosa,-46.5452754,-23.5624914
059 DP - Jardim Noemia,-46.4099113,-23.4924925
062 DP - Ermelino Matarazzo,-46.4818509,-23.4894645
063 DP - Vila Jacuí,-46.4467010,-23.5096432
064 DP - Cidade A E Carvalho,-46.4754317,-23.5241490
065 DP - Artur Alvim,-46.4812275,-23.5440384
066 DP - Vale do Aricanduva,-46.4922413,-23.5539152
067 DP - Jardim Robru,-46.4114559,-23.5202707
068 DP - Lajeado,-46.3982307,-23.5360323
069 DP - Teotônio Vilela,-46.5008370,-23.6082626
070 DP - Vila Ema,-46.5334322,-23.5986793
072 DP - Vila Penteado,-46.6787663,-23.4635676
073 DP - Jaçanã,-46.5853448,-23.4586685
074 DP - Jaraguá,-46.7169344,-23.4457457
075 DP - Jardim Arpoador,-46.7960087,-23.5972753
077 DP - Santa Cecília,-46.6489169,-23.5366538
078 DP - Jardins,-46.6693084,-23.5660570
080 DP - Vila Joaniza,-46.6598120,-23.6737128
081 DP - Belém,-46.5845740,-23.5353047
083 DP - Parque Bristol,-46.6137637,-23.6565374
085 DP - Jardim Mirna,-46.6970036,-23.7706167
087 DP - Vila Pereira Barreto,-46.7252637,-23.4820778
089 DP - Portal do Morumbi,-46.7360616,-23.6083955
090 DP - Parque Novo Mundo,-46.5697405,-23.5010063
091 DP - Ceagesp,-46.7309197,-23.5386900
092 DP - Parque Santo Antônio,-46.7562144,-23.6628184
093 DP - Jaguaré,-46.7466795,-23.5588008
095 DP - Heliópolis,-46.5949515,-23.6038495
096 DP - Monções,-46.6928594,-23.6043701
097 DP - Americanópolis,-46.6332434,-23.6535706
098 DP - Jardim Míriam,-46.6372182,-23.6851568
099 DP - Campo Grande,-46.6870454,-23.6620001
100 DP - Jardim Herculano,-46.7599518,-23.6929341
101 DP - Jardim das Imbuias,-46.7093091,-23.7298712
102 DP - Socorro,-46.7121106,-23.6762796
103 DP - Cohab Itaquera,-46.4368656,-23.5519407
1ª DDM - 1ª Seccional - Centro,-46.6314832,-23.5479866
2ª DDM - 2ª Seccional - Sul,-46.6377471,-23.6017936
3ª DDM - 3ª Seccional - Oeste,-46.7465224,-23.5587882
4ª DDM - 4ª Seccional - Norte,-46.6980076,-23.4947041
5ª DDM - 5ª Seccional - Leste,-46.5633810,-23.5362802
6ª DDM - 6ª Seccional - Santo Amaro,-46.7073919,-23.6469000
7ª DDM - 7ª Seccional - Itaquera,-46.4459312,-23.5448764
8ª DDM - 8ª Seccional São Mateus,-46.5009263,-23.6083213
9ª DDM - 3ª Seccional - Oeste,-46.6910839,-23.5617664
Central de Flagrantes II - 91 DP,-46.7309017,-23.5387307
Del. Aeroporto Int. SP - Guarulhos (SP),-46.4762005,-23.4239282
Del. Aeroporto Int. Viracopos - CPS (SP),-47.1485948,-23.0085835
Del. Aeroporto SP - Congonhas,-46.6619051,-23.6243419
Del. Pol. Atendimento ao Turista,-46.6720910,-23.5186482
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro,-46.6435358,-23.5438854
Delegacia do Idoso - 2ª Seccional - Sul,-46.6433437,-23.6398784
Delegacia do Idoso - 3ª Seccional - Oeste,-46.6911732,-23.5618531
Delegacia do Idoso - 4ª Seccional - Norte,-46.6978642,-23.4947346
Delegacia do Idoso - 5ª Seccional - Leste,-46.5627331,-23.5491449
Delegacia do Idoso - 6ª Secional - Santo Amaro,-46.7072988,-23.6469767
Delegacia do Idoso - 7ª Seccional - Itaquera,-46.4810965,-23.5439986
Delegacia do Idoso - 8ª Seccional - São Mateus,-46.4605732,-23.5694207
Delegacia Porto de Santos (SP),-46.3098271,-23.9537772
DELPOL Metropolitano,-46.6674623,-23.5255251
